subid,subage,experiment,trial,cue,control,agent,leftFruit,rightFruit,targetPosition,targetSwitch,inf,pick,correct,rt,test_date,experimenter,keep_drop,sex,dob,age_num,check_age
190116_2_inf2,3,mcc_kids_inf_2_2,filler1,pointLabel,no,Frog,t15,t5,inner,stay,left,selector_l,1,9983,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,filler2,pointLabel,no,Frog,t9,t2,outer,switch,right,selector_l,1,5980,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,1,pointLabel,no,Frog,t7,t1,outer,switch,left,selector_l,0,20695,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,2,pointLabel,no,Frog,t3,t18,outer,stay,right,selector_r,1,9191,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,3,pointLabel,no,Frog,t12,t4,inner,switch,left,selector_l,0,9703,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,4,pointLabel,no,Frog,t10,t14,inner,switch,right,selector_r,0,7835,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,5,pointLabel,no,Frog,t8,t17,inner,stay,right,selector_l,0,7890,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_2_inf2,3,mcc_kids_inf_2_2,6,pointLabel,no,Frog,t11,t16,outer,stay,left,selector_l,1,5468,2019-01-16,MM,keep,M,2015-05-28,3.6410958904109587,TRUE
190116_3_inf2,3,mcc_kids_inf_2_2,filler1,pointLabel,no,Frog,t12,t8,inner,stay,left,selector_l,1,9165,2019-01-16,MM,keep,M,2015-08-13,3.43013698630137,TRUE
190116_3_inf2,3,mcc_kids_inf_2_2,filler2,pointLabel,no,Frog,t9,t5,outer,switch,right,selector_l,1,8731,2019-01-16,MM,keep,M,2015-08-13,3.43013698630137,TRUE
